order_id,order_date,ship_date,customer_id,customer_name,customer_segment,region,country,product_category,product_sub_category,channel,quantity,unit_price,discount_pct,shipping_cost,order_status,satisfaction_score,_flag_duplicate,_flag_dates,_flag_quantity,_flag_price,_flag_customer,_flag_geo,_flag_satisfaction
ORD-10038,2023-09-25,2023-10-01,CUST-0735,Dakota Smith,SMB,Europe,France,Electronics,Laptops,Retail,10,1549.86,0.3,129.1,Completed,,,,,,,,missing
ORD-10037,2024-10-11,2024-10-14,CUST-0725,Finley Garcia,Enterprise,Middle East,Qatar,Services,Training,Retail,12,759.88,0.26,44.18,Completed,3,duplicate_of_ORD-10037,,,,,,
ORD-10014,2025-10-13,2025-10-16,CUST-0340,Finley Chen,Government,North America,United States,Office Supplies,Binders,Retail,6,1644.22,0.34,109.39,Completed,3,duplicate_of_ORD-10014,,,,,,
ORD-10041,2025-02-14,2025-02-20,CUST-0560,Riley Clark,Government,Latin America,Brazil,Software,Support Plans,Retail,5,1599.39,0.01,3.01,Completed,3,,,,,,,
ORD-10042,2023-03-05,2023-03-12,CUST-0670,Sage Singh,Consumer,Europe,Spain,Furniture,Desks,Online,13,821.51,0.19,138.84,Completed,4,,,,,,,
ORD-10043,2025-09-10,2025-09-14,CUST-0100,Sage Thomas,SMB,North America,United States,Furniture,Storage,Online,8,620.17,0.14,73.36,Completed,4,,,,,,,
ORD-10044,2023-05-07,2023-05-10,CUST-0771,Casey Lopez,Enterprise,North America,United States,Office Supplies,Labels,Retail,25,1637.72,0.15,80.33,Completed,5,,,,,,,
ORD-10045,2023-10-29,2023-10-31,CUST-0776,Pat Kim,Enterprise,Latin America,Brazil,Furniture,Chairs,Retail,28,161.35,0.24,30.29,Completed,5,,,,,,,
ORD-10046,2023-01-26,2023-02-08,CUST-0718,Reese Kim,SMB,Middle East,Qatar,Services,Training,Online,10,1135.35,0.2,144.72,Completed,2,,,,,,,
ORD-10047,2023-12-19,2023-12-24,CUST-0413,Robin Lee,Enterprise,Europe,Spain,Electronics,Networking,Partner,4,1492.77,0.32,134.55,Completed,1,,,,,,,
ORD-10048,2024-10-19,2024-10-24,CUST-0747,Reese Lopez,Government,Latin America,Colombia,Electronics,Monitors,Direct Sales,27,1483.18,0.27,130.08,Completed,5,,,,,,,
ORD-10049,2023-04-29,2023-05-03,CUST-0034,Sage Clark,Enterprise,Latin America,Brazil,Office Supplies,Pens,Partner,30,1012.73,0.22,18.58,Completed,1,,,,,,,
ORD-10050,2024-08-06,2024-08-07,CUST-0396,Drew Hall,Enterprise,North America,United States,Services,Consulting,Retail,44,417.43,0.23,76.99,Completed,5,,,,,,,
ORD-10051,2024-07-17,2024-07-24,CUST-0386,Finley Wilson,SMB,Asia Pacific,Singapore,Office Supplies,Pens,Direct Sales,34,1649.5,0.14,15.35,Completed,4,,,,,,,
ORD-10052,2024-07-21,2024-07-26,CUST-0672,Skyler Kim,Consumer,Asia Pacific,Australia,Furniture,Chairs,Online,39,811.18,0.11,20.99,Returned,1,,,,,,,
ORD-10053,2025-12-30,2026-01-10,CUST-0488,Rowan Johnson,Consumer,Asia Pacific,India,Furniture,Chairs,Partner,9,1483.13,0.25,83.85,Completed,5,,,,,,,
ORD-10054,2025-08-07,2025-08-21,CUST-0121,Morgan Kim,Government,Latin America,Brazil,Services,Installation,Online,13,1003.45,0.3,57.25,Completed,3,,,,,,,
ORD-10055,2023-06-15,2023-06-23,CUST-0341,Dakota Lopez,Consumer,Europe,France,Electronics,Laptops,Direct Sales,49,0.0,0.2,23.77,Completed,5,,,,zero_unit_price,,,
ORD-10056,2024-10-21,2024-11-03,CUST-0544,Blake Kim,Consumer,Europe,United Kingdom,Electronics,Monitors,Retail,23,627.62,0.04,75.5,Completed,3,,,,,,,
ORD-10057,2025-09-30,2025-10-06,CUST-0769,Blake Brown,Government,Europe,Germany,Software,Licenses,Retail,9,426.32,0.01,75.7,Completed,2,,,,,,,
ORD-10058,2023-04-09,2023-04-21,CUST-0119,Reese Kim,Enterprise,Latin America,Argentina,Software,Licenses,Partner,10,414.96,0.24,1.4,Completed,4,,,,,,,
ORD-10059,2025-10-16,2025-10-14,CUST-0624,Sage Young,Enterprise,Europe,France,Services,Consulting,Partner,19,324.95,0.19,136.55,Completed,4,,ship_before_order,,,,,
ORD-10060,2023-07-27,2023-08-01,CUST-0660,Dakota King,SMB,Asia Pacific,Spain,Office Supplies,Binders,Direct Sales,12,1748.91,0.3,54.03,Completed,4,,,,,,region_country_mismatch,
ORD-10061,2023-07-10,2023-07-16,CUST-0351,Reese Lopez,Enterprise,Europe,United Kingdom,Software,SaaS Subscriptions,Direct Sales,25,1381.36,0.17,63.26,Completed,5,,,,,,,
ORD-10062,2025-02-16,2025-03-01,CUST-0368,Pat Chen,Government,Middle East,UAE,Furniture,Lighting,Direct Sales,27,884.17,0.02,98.25,Completed,1,,,,,,,
ORD-10063,2025-06-05,2025-06-16,CUST-0745,Skyler Singh,SMB,Europe,Spain,Office Supplies,Labels,Retail,36,1784.66,0.21,1.75,Returned,5,,,,,,,
ORD-10064,2025-02-14,2025-02-21,CUST-0241,,Consumer,North America,Canada,Software,Support Plans,Direct Sales,32,896.9,0.04,74.61,Completed,4,,,,,missing_name,,
ORD-10065,2025-07-23,2025-07-29,CUST-0373,Pat Kim,Government,North America,United States,Software,SaaS Subscriptions,Direct Sales,24,1433.25,0.04,113.9,Completed,3,,,,,,,
ORD-10066,2025-04-18,2025-04-20,CUST-0261,Riley Anderson,SMB,Middle East,UAE,Furniture,Desks,Direct Sales,13,1434.99,0.04,62.17,Completed,5,,,,,,,
ORD-10067,2025-06-05,2025-06-19,CUST-0600,Sam Lee,Government,Latin America,Colombia,Furniture,Chairs,Retail,43,1203.09,0.31,75.62,Completed,4,,,,,,,
ORD-10068,2025-11-15,2025-11-20,CUST-0719,Avery Martinez,Government,Middle East,Saudi Arabia,Services,Installation,Retail,40,1430.2,0.24,138.18,Completed,2,,,,,,,
ORD-10069,2025-05-04,2025-05-15,CUST-0766,Jordan Kim,Government,Middle East,Saudi Arabia,Software,Licenses,Online,10,110.86,0.02,40.05,Completed,5,,,,,,,
ORD-10070,2024-04-04,2024-04-16,CUST-0663,Casey Anderson,Enterprise,Middle East,Saudi Arabia,Furniture,Storage,Online,25,836.05,0.28,102.77,Cancelled,,,,,,,,missing
ORD-10071,2024-02-07,2024-02-20,CUST-0743,,SMB,Europe,France,Software,Licenses,Online,12,1471.48,0.04,6.1,Completed,3,,,,,missing_name,,
ORD-10072,2024-09-08,2024-09-16,CUST-0587,Taylor Lopez,SMB,Middle East,Saudi Arabia,Electronics,Accessories,Retail,34,141.01,0.18,62.39,Pending,4,,,,,,,
ORD-10073,2023-01-19,2023-01-21,CUST-0685,Morgan Wright,SMB,Asia Pacific,Singapore,Furniture,Chairs,Online,21,765.84,0.28,17.01,Completed,3,,,,,,,
ORD-10074,2023-06-18,2023-06-20,CUST-0172,Avery Thomas,Government,Middle East,Qatar,Electronics,Laptops,Retail,50,430.28,0.24,125.35,Completed,3,,,,,,,
ORD-10075,2023-05-31,2023-06-01,CUST-0183,Alex Kim,Consumer,Asia Pacific,Japan,Services,Consulting,Partner,29,1262.28,0.15,2.53,Completed,4,,,,,,,
ORD-10076,2024-09-09,2027-09-05,CUST-0089,Riley Lee,Enterprise,Asia Pacific,Singapore,Software,SaaS Subscriptions,Online,35,443.63,0.26,119.52,Completed,5,,ship_date_far_future,,,,,
ORD-10077,2023-01-11,2023-01-21,CUST-0611,Riley Wright,Consumer,Latin America,Colombia,Services,Consulting,Partner,48,1807.58,0.12,61.9,Completed,4,,,,,,,
ORD-10078,2025-08-02,2025-08-13,CUST-0563,Jamie Wright,SMB,North America,Canada,Electronics,Accessories,Online,38,976.94,0.12,19.23,Completed,4,,,,,,,
ORD-10079,2024-10-09,2024-10-16,CUST-0173,Taylor Chen,SMB,North America,Canada,Furniture,Chairs,Direct Sales,24,272.94,0.26,131.68,Completed,4,,,,,,,
ORD-10080,2023-06-06,2023-06-18,CUST-0078,Taylor Anderson,SMB,North America,Mexico,Electronics,Networking,Retail,36,524.93,0.31,80.95,Cancelled,4,,,,,,,
ORD-10081,2024-05-04,2024-05-18,CUST-0629,Rowan Nguyen,SMB,Europe,Germany,Software,Licenses,Retail,37,1320.53,0.34,110.39,Completed,4,,,,,,,
ORD-10082,2025-07-20,2025-07-21,CUST-0041,Jamie Brown,Government,Asia Pacific,Japan,Services,Installation,Partner,17,1159.37,0.2,56.5,Returned,4,,,,,,,
ORD-10083,2023-01-14,2023-01-23,CUST-0143,Sam Wright,Consumer,Latin America,Brazil,Furniture,Desks,Partner,12,318.93,0.21,122.54,Completed,4,,,,,,,
ORD-10084,2023-11-26,2023-11-29,CUST-0645,Skyler Thomas,Enterprise,Middle East,UAE,Services,Consulting,Online,12,1035.7,0.14,145.39,Completed,4,,,,,,,
ORD-10085,2023-10-20,2023-11-02,CUST-0597,Reese Singh,Government,Europe,France,Furniture,Storage,Direct Sales,5,463.48,0.13,16.29,Completed,3,,,,,,,
ORD-10086,2023-08-29,2023-08-31,CUST-0494,Casey Wright,Enterprise,Europe,United Kingdom,Software,Support Plans,Direct Sales,3,1396.8,0.15,140.76,Completed,4,,,,,,,
ORD-10087,2023-06-21,2023-06-26,CUST-0613,Taylor Johnson,Consumer,Middle East,Saudi Arabia,Office Supplies,Pens,Online,1,1158.08,0.04,1.08,Completed,4,,,,,,,
ORD-10088,2025-03-24,2025-04-06,CUST-0209,Morgan Chen,Enterprise,Latin America,Colombia,Services,Training,Retail,36,970.1,0.35,86.65,Completed,5,,,,,,,
ORD-10089,2023-04-17,2023-04-20,CUST-0399,Pat Smith,Enterprise,North America,United States,Furniture,Lighting,Direct Sales,17,447.43,0.03,5.66,Completed,4,,,,,,,
ORD-10090,2025-11-27,2025-12-02,CUST-0200,Quinn Smith,SMB,North America,Mexico,Services,Installation,Retail,44,76.94,0.08,0.04,Completed,3,,,,,,,
ORD-10091,2024-12-13,2024-12-19,CUST-0284,Sam Garcia,SMB,Europe,Germany,Software,SaaS Subscriptions,Online,27,1014.95,0.2,75.48,Completed,3,,,,,,,
ORD-10092,2024-11-26,2024-12-09,CUST-0470,,Government,Latin America,Colombia,Electronics,Networking,Online,25,1269.16,0.35,101.54,Completed,3,,,,,missing_name,,
ORD-10093,2024-01-01,2024-01-09,CUST-0322,Taylor Patel,Government,Asia Pacific,Australia,Services,Training,Retail,44,1860.86,0.07,110.57,Pending,3,,,,,,,
ORD-10094,2025-10-05,2025-10-15,CUST-0007,Skyler Wilson,Government,Middle East,UAE,Software,SaaS Subscriptions,Partner,37,1738.19,0.17,147.66,Completed,5,,,,,,,
ORD-10095,2023-12-24,2024-01-01,CUST-0124,Alex Brown,Consumer,Middle East,Saudi Arabia,Office Supplies,Paper,Online,25,1164.11,0.11,91.92,Completed,3,,,,,,,
ORD-10096,2024-07-26,2024-08-03,CUST-0185,Robin Anderson,Consumer,Middle East,UAE,Services,Installation,Retail,47,543.55,0.08,64.83,Returned,4,,,,,,,
ORD-10097,2025-09-23,2025-09-28,CUST-0257,Pat Chen,Government,Middle East,Qatar,Electronics,Networking,Online,4,434.86,0.09,125.85,Completed,2,,,,,,,
ORD-10098,2023-12-24,2024-01-06,CUST-0292,Rowan Clark,Government,Asia Pacific,India,Services,Training,Direct Sales,25,1229.26,0.16,143.49,Cancelled,5,,,,,,,
ORD-10099,2024-07-01,2024-07-11,CUST-0661,Jordan King,Government,Latin America,Argentina,Software,SaaS Subscriptions,Direct Sales,12,1709.15,0.04,35.19,Completed,3,,,,,,,
ORD-10085,2023-06-20,2023-06-22,CUST-0269,Casey Thomas,SMB,Middle East,UAE,Electronics,Networking,Partner,48,571.93,0.22,19.69,Completed,5,duplicate_of_ORD-10085,,,,,,
ORD-10101,2023-12-29,2027-07-26,CUST-0612,Finley Johnson,Enterprise,Latin America,Colombia,Services,Training,Partner,31,1081.64,0.41,66.28,Cancelled,4,,ship_date_far_future,,,,,
ORD-10102,2024-04-18,2024-05-01,CUST-0008,Avery Lopez,Consumer,Middle East,Saudi Arabia,Furniture,Lighting,Direct Sales,11,1431.3,0.23,124.26,Completed,3,,,,,,,
ORD-10103,2024-01-21,2027-04-11,CUST-0071,Morgan Johnson,Government,Europe,Germany,Office Supplies,Paper,Direct Sales,18,0.0,0.17,48.1,Completed,3,,ship_date_far_future,,zero_unit_price,,,
ORD-10104,2025-10-17,2025-10-23,CUST-0475,Jordan Johnson,Consumer,North America,Canada,Electronics,Monitors,Online,26,147.41,0.16,28.83,Completed,5,,,,,,,
ORD-10105,2023-07-12,2023-07-21,CUST-0682,Dakota Clark,SMB,Europe,Spain,Software,Support Plans,Partner,11,1260.18,0.01,140.61,Pending,4,,,,,,,
ORD-10106,2024-07-19,2024-07-29,CUST-0123,Riley Brown,Government,Latin America,Brazil,Electronics,Laptops,Direct Sales,10,745.94,0.03,23.65,Completed,2,,,,,,,
ORD-10107,2024-12-12,2024-12-25,CUST-0450,Taylor Singh,Enterprise,Europe,United Kingdom,Software,SaaS Subscriptions,Retail,3,973.18,0.15,44.21,Completed,4,,,,,,,
ORD-10108,2024-08-28,2024-09-11,CUST-0270,Taylor Johnson,SMB,Middle East,Saudi Arabia,Software,Licenses,Direct Sales,2,1241.37,0.13,93.03,Completed,3,,,,,,,
ORD-10109,2023-07-17,2023-07-26,CUST-0675,Avery Chen,Consumer,North America,United States,Furniture,Chairs,Online,32,0.0,0.01,96.26,Completed,4,,,,zero_unit_price,,,
ORD-10110,2023-06-13,2023-06-21,CUST-0655,Finley Patel,Government,North America,Canada,Services,Installation,Direct Sales,46,121.31,0.22,79.35,Returned,5,,,,,,,
ORD-10111,2024-01-02,2024-01-11,CUST-0768,Jamie Martinez,Consumer,Middle East,Saudi Arabia,Electronics,Accessories,Direct Sales,28,1766.23,0.06,27.06,Completed,4,,,,,,,
ORD-10112,2025-05-31,2025-06-14,CUST-0744,Drew Garcia,SMB,Asia Pacific,Australia,Services,Installation,Retail,36,1852.66,0.09,144.25,Completed,4,,,,,,,
ORD-10113,2023-02-14,2023-02-27,CUST-0707,Jamie Hall,Consumer,Asia Pacific,Australia,Electronics,Laptops,Direct Sales,9,533.65,0.31,37.48,Completed,3,,,,,,,
ORD-10114,2023-07-15,2023-07-25,CUST-0658,Morgan Nguyen,Consumer,Asia Pacific,Japan,Services,Training,Online,50,672.11,0.31,65.15,Returned,5,,,,,,,
ORD-10115,2023-11-03,2023-11-09,CUST-0515,Dakota Johnson,Government,Europe,Germany,Electronics,Networking,Direct Sales,37,1011.94,0.08,43.47,Returned,4,,,,,,,
ORD-10116,2024-02-10,2024-02-18,CUST-0405,Blake Wright,Consumer,Middle East,UAE,Services,Installation,Retail,18,1554.66,0.29,138.62,Completed,2,,,,,,,
ORD-10117,2023-10-26,2023-11-03,CUST-0046,Skyler Hall,Enterprise,Europe,Germany,Office Supplies,Pens,Online,4,489.88,0.22,22.15,Completed,5,,,,,,,
ORD-10118,2025-09-16,2025-09-26,CUST-0748,Skyler Singh,SMB,Europe,United Kingdom,Software,Support Plans,Online,-4,571.61,0.28,92.69,Completed,2,,,negative,,,,
ORD-10119,2024-04-18,2024-04-25,CUST-0521,Pat Kim,Enterprise,Latin America,Canada,Software,Support Plans,Online,33,1933.75,0.2,106.87,Completed,1,,,,,,region_country_mismatch,
ORD-10120,2023-05-07,2023-05-18,CUST-0264,Rowan Clark,Consumer,Latin America,Brazil,Services,Training,Retail,26,1315.58,0.03,57.33,Completed,,,,,,,,missing
ORD-10121,2023-10-11,2023-10-21,CUST-0555,Dakota Johnson,SMB,Europe,Germany,Office Supplies,Pens,Direct Sales,50,294.58,0.33,137.57,Pending,3,,,,,,,
ORD-10122,2025-06-26,2025-07-08,CUST-0653,Sam Wright,Consumer,Asia Pacific,Australia,Furniture,Desks,Retail,49,1971.98,0.22,90.84,Completed,4,,,,,,,
ORD-10123,2025-03-04,2025-03-12,CUST-0486,Drew Kim,Consumer,Europe,Germany,Furniture,Chairs,Online,1,1851.24,0.33,33.38,Completed,4,,,,,,,
ORD-10124,2023-03-27,2023-04-06,CUST-0753,Quinn Lee,Enterprise,Latin America,Colombia,Office Supplies,Labels,Online,29,916.52,0.31,131.67,Completed,3,,,,,,,
ORD-10125,2024-08-08,2024-08-16,CUST-0171,Avery Thomas,Government,Latin America,Argentina,Services,Consulting,Retail,42,906.14,0.25,16.98,Completed,5,,,,,,,
ORD-10126,2024-05-27,2024-06-02,CUST-0709,Riley Martinez,Government,Europe,United Kingdom,Electronics,Laptops,Direct Sales,6,1050.02,0.13,118.66,Completed,4,,,,,,,
ORD-10127,2023-04-16,2023-04-23,CUST-0316,Jordan Martinez,Consumer,Asia Pacific,Singapore,Office Supplies,Pens,Online,13,12.05,0.27,1.83,Cancelled,,,,,,,,out_of_range(99)
ORD-10128,2024-07-23,2024-08-02,CUST-0644,Taylor Singh,Government,Middle East,UAE,Electronics,Monitors,Retail,23,78.26,0.3,100.05,Completed,5,,,,,,,
ORD-10129,2023-12-30,2024-01-07,CUST-0768,Jamie Martinez,Consumer,Middle East,Saudi Arabia,Electronics,Laptops,Partner,25,1641.43,0.27,126.5,Completed,2,,,,,,,
ORD-10130,2025-12-19,2025-12-21,CUST-0496,Sam Martinez,Enterprise,Middle East,Qatar,Office Supplies,Labels,Partner,37,1990.07,0.12,19.46,Completed,4,,,,,,,
ORD-10131,2023-08-30,2023-09-11,CUST-0213,Alex Nguyen,Government,Middle East,Saudi Arabia,Software,Licenses,Partner,41,428.61,0.22,103.5,Completed,3,,,,,,,
ORD-10132,2024-02-02,2024-02-08,CUST-0347,Rowan Clark,Consumer,Latin America,Argentina,Electronics,Monitors,Direct Sales,30,1784.66,0.19,50.27,Completed,5,,,,,,,
ORD-10133,2024-12-25,2024-12-27,CUST-0153,Quinn Hall,Government,Asia Pacific,Japan,Office Supplies,Labels,Retail,25,378.82,0.04,117.35,Completed,3,,,,,,,
ORD-10134,2025-02-05,2025-02-18,CUST-0039,Morgan Young,Consumer,Europe,United Kingdom,Software,Support Plans,Online,33,312.39,0.12,72.52,Returned,5,,,,,,,
ORD-10135,2025-12-05,2025-12-07,CUST-0005,Alex Lee,SMB,Asia Pacific,Japan,Services,Consulting,Partner,3,210.69,0.27,111.83,Completed,1,,,,,,,
ORD-10136,2023-08-23,2023-08-24,CUST-0638,Reese Young,Enterprise,Middle East,Qatar,Electronics,Monitors,Partner,18,287.41,0.25,42.49,Completed,3,,,,,,,
ORD-10137,2024-01-02,2024-01-14,CUST-0611,Riley Wright,Consumer,Middle East,Qatar,Software,Support Plans,Partner,13,1427.23,0.23,80.02,Completed,,,,,,,,missing
ORD-10138,2024-04-19,2024-04-23,CUST-0148,Riley Wright,Consumer,Middle East,Saudi Arabia,Office Supplies,Labels,Retail,43,664.0,0.3,48.71,Completed,4,,,,,,,
ORD-10139,2023-08-08,2023-08-14,CUST-0570,Dakota Johnson,Enterprise,North America,Canada,Services,Training,Direct Sales,16,1243.65,0.19,146.08,Completed,4,,,,,,,
ORD-10140,2025-09-23,2027-03-22,CUST-0607,Sage Chen,Enterprise,Middle East,Saudi Arabia,Office Supplies,Paper,Direct Sales,26,143.87,0.04,122.11,Completed,5,,ship_date_far_future,,,,,
ORD-10141,2025-12-24,2025-12-29,CUST-0400,Robin Singh,Government,Middle East,Qatar,Software,Licenses,Retail,21,602.97,0.28,101.93,Completed,5,,,,,,,
ORD-10142,2023-04-19,2023-04-20,CUST-0721,Jamie Young,Government,Middle East,Saudi Arabia,Electronics,Accessories,Online,45,1182.38,0.22,106.77,Completed,4,,,,,,,
ORD-10143,2023-09-15,2023-09-18,CUST-0012,Taylor Singh,Enterprise,North America,Mexico,Electronics,Monitors,Direct Sales,9,173.9,0.22,62.38,Completed,4,,,,,,,
ORD-10144,2025-10-17,2025-10-31,CUST-0749,Avery Lopez,Consumer,Europe,France,Software,Support Plans,Partner,3,1138.46,0.25,16.97,Completed,4,,,,,,,
ORD-10145,2025-08-25,2025-09-05,CUST-0760,Finley Wright,Consumer,North America,Mexico,Services,Installation,Partner,22,1072.39,0.0,68.11,Completed,5,,,,,,,
ORD-10146,2024-06-17,2024-06-18,CUST-0645,Skyler Thomas,Enterprise,Latin America,Colombia,Furniture,Desks,Partner,40,59.46,0.17,19.02,Returned,2,,,,,,,
ORD-10147,2025-01-27,2025-02-09,CUST-0180,Jordan Wilson,Government,Asia Pacific,Australia,Software,Licenses,Online,6,1934.85,0.21,123.26,Completed,5,,,,,,,
ORD-10148,2023-08-26,2023-08-27,CUST-0172,Avery Thomas,Government,Latin America,Argentina,Software,SaaS Subscriptions,Direct Sales,49,1845.31,0.08,102.53,Completed,4,,,,,,,
